width,module,t,l1
256,blocks.1.mlp.fc,2,0.12846380472183228
256,blocks.1.mlp.proj,2,0.01124249491840601
256,ln_f,2,0.7979280948638916
256,head,2,0.228347048163414
256,tok_emb,3,0.7973916530609131
256,pos_emb,3,0.7995696067810059
256,blocks.0.ln1,3,0.7992575764656067
256,blocks.0.attn.qkv,3,0.12831935286521912
256,blocks.0.attn.proj,3,0.0031957593746483326
256,blocks.0.ln2,3,0.7994706034660339
256,blocks.0.mlp.fc,3,0.12911926209926605
256,blocks.0.mlp.proj,3,0.01216648705303669
256,blocks.1.ln1,3,0.7993280291557312
256,blocks.1.attn.qkv,3,0.1283906251192093
256,blocks.1.attn.proj,3,0.003344778437167406
256,blocks.1.ln2,3,0.7995659708976746
256,blocks.1.mlp.fc,3,0.1292005479335785
256,blocks.1.mlp.proj,3,0.012159857898950577
256,ln_f,3,0.7978379726409912
256,head,3,0.2276003062725067
256,tok_emb,4,0.7973918318748474
256,pos_emb,4,0.799559473991394
256,blocks.0.ln1,4,0.7998212575912476
256,blocks.0.attn.qkv,4,0.1289266049861908
256,blocks.0.attn.proj,4,0.003929016180336475
256,blocks.0.ln2,4,0.8001437783241272
256,blocks.0.mlp.fc,4,0.13014917075634003
256,blocks.0.mlp.proj,4,0.013364091515541077
256,blocks.1.ln1,4,0.7998880743980408
256,blocks.1.attn.qkv,4,0.1290130764245987
256,blocks.1.attn.proj,4,0.004094485659152269
256,blocks.1.ln2,4,0.800248384475708
256,blocks.1.mlp.fc,4,0.13022717833518982
256,blocks.1.mlp.proj,4,0.013372072950005531
256,ln_f,4,0.7978870868682861
256,head,4,0.2270180732011795
256,tok_emb,0,0.8001070618629456
256,pos_emb,0,0.7943175435066223
256,blocks.0.ln1,0,0.7989619374275208
256,blocks.0.attn.qkv,0,0.12760034203529358
256,blocks.0.attn.proj,0,0.0022526499815285206
256,blocks.0.ln2,0,0.7989663481712341
256,blocks.0.mlp.fc,0,0.12773925065994263
256,blocks.0.mlp.proj,0,0.01044517382979393
256,blocks.1.ln1,0,0.7989721298217773
256,blocks.1.attn.qkv,0,0.12747737765312195
256,blocks.1.attn.proj,0,0.0023950582835823298
256,blocks.1.ln2,0,0.7989685535430908
256,blocks.1.mlp.fc,0,0.1281948983669281
256,blocks.1.mlp.proj,0,0.010497767478227615
256,ln_f,0,0.7989736795425415
256,head,0,0.23010869324207306
256,tok_emb,1,0.8001085519790649
256,pos_emb,1,0.794316291809082
256,blocks.0.ln1,1,0.7990617752075195
256,blocks.0.attn.qkv,1,0.12770356237888336
256,blocks.0.attn.proj,1,0.002377611119300127
256,blocks.0.ln2,1,0.7990195751190186
256,blocks.0.mlp.fc,1,0.12783530354499817
256,blocks.0.mlp.proj,1,0.010648874565958977
256,blocks.1.ln1,1,0.7989757061004639
256,blocks.1.attn.qkv,1,0.1275416612625122
256,blocks.1.attn.proj,1,0.0024660478811711073
256,blocks.1.ln2,1,0.7989312410354614
256,blocks.1.mlp.fc,1,0.12824249267578125
256,blocks.1.mlp.proj,1,0.010684429667890072
256,ln_f,1,0.7988597750663757
256,head,1,0.22906291484832764
256,tok_emb,2,0.8001099228858948
256,pos_emb,2,0.7943135499954224
256,blocks.0.ln1,2,0.7993946075439453
256,blocks.0.attn.qkv,2,0.12799879908561707
256,blocks.0.attn.proj,2,0.0027124243788421154
256,blocks.0.ln2,2,0.799476146697998
256,blocks.0.mlp.fc,2,0.12828479707241058
256,blocks.0.mlp.proj,2,0.011238859966397285
256,blocks.1.ln1,2,0.7992578744888306
256,blocks.1.attn.qkv,2,0.12781396508216858
256,blocks.1.attn.proj,2,0.002752495463937521
256,blocks.1.ln2,2,0.7993648052215576
256,blocks.1.mlp.fc,2,0.12865561246871948
